wavelength_Angstroms,flux,uncertainty
12828.54,1.0955,0.11
12828.73,1.0492,0.11
12828.91,1.0863,0.11
12829.1,1.1851,0.11
12829.28,1.3191,0.11
12829.47,1.3865,0.11
12829.65,1.1683,0.11
12829.83,1.0752,0.11
12830.02,1.1839,0.11
12830.2,1.0225,0.11
12830.39,1.0006,0.11
12830.57,1.0865,0.11
12830.76,0.879,0.11
12830.94,0.7712,0.11
12831.13,0.8174,0.11
12831.31,0.7348,0.11
12831.5,0.7031,0.11
12831.68,0.739,0.11
12831.87,0.807,0.11
12832.05,1.0139,0.11
12832.23,0.707,0.11
12832.42,0.7828,0.11
12832.6,0.7698,0.11
12832.79,0.9097,0.11
12832.97,0.646,0.11
12833.16,0.6167,0.11
12833.34,0.777,0.11
12833.53,0.8232,0.11
12833.71,0.6672,0.11
12833.9,0.7971,0.11
12834.08,0.7458,0.11
12834.26,0.7561,0.11
12834.45,0.8921,0.11
12834.63,0.9595,0.11
12834.82,1.1461,0.11
12835.0,1.1807,0.11
12835.19,1.1667,0.11
12835.37,1.134,0.11
12835.56,1.0937,0.11
12835.74,1.2237,0.11
12835.93,1.1158,0.11
12836.11,1.0432,0.11
12836.3,1.2411,0.11
12836.48,1.0829,0.11
12836.66,1.0341,0.11
12836.85,1.1022,0.11
12837.03,1.0957,0.11
12837.22,1.1252,0.11
12837.4,1.2577,0.11
12837.59,1.3072,0.11
12837.77,1.2639,0.11
12837.96,1.1342,0.11
12838.14,1.1517,0.11
12838.33,0.9263,0.11
12838.51,1.0995,0.11
12838.69,0.9552,0.11
12838.88,0.8071,0.11
12839.06,0.7695,0.11
12839.25,0.9924,0.11
12839.43,0.9474,0.11
12839.62,0.913,0.11
12839.8,0.6541,0.11
12839.99,0.747,0.11
12840.17,0.7773,0.11
12840.36,0.7395,0.11
12840.54,0.6886,0.11
12840.73,0.8074,0.11
12840.91,1.0448,0.11
12841.09,1.043,0.11
12841.28,0.809,0.11
12841.46,0.9808,0.11
12841.65,1.1523,0.11
12841.83,0.8882,0.11
12842.02,0.9145,0.11
12842.2,1.1731,0.11
12842.39,1.1691,0.11
12842.57,1.1292,0.11
12842.76,1.128,0.11
12842.94,1.202,0.11
12843.13,1.152,0.11
12843.31,1.4192,0.11
12843.5,1.4512,0.11
12843.68,1.2259,0.11
12843.86,1.3489,0.11
12844.05,1.2161,0.11
12844.23,0.9527,0.11
12844.42,1.0149,0.11
12844.6,0.9905,0.11
12844.79,0.8961,0.11
12844.97,0.9835,0.11
12845.16,0.9821,0.11
12845.34,1.0225,0.11
12845.53,0.9884,0.11
12845.71,0.9698,0.11
12845.9,1.136,0.11
12846.08,1.299,0.11
12846.26,1.1476,0.11
12846.45,1.3673,0.11
12846.63,1.2112,0.11
12846.82,1.1034,0.11
12847.0,1.275,0.11
12847.19,1.0127,0.11
12847.37,1.0799,0.11
12847.56,0.943,0.11
12847.74,0.9954,0.11
12847.93,0.901,0.11
12848.11,0.948,0.11
12848.3,0.9816,0.11
12848.48,1.0518,0.11
12848.66,1.0523,0.11
12848.85,1.0369,0.11
12849.03,0.9564,0.11
12849.22,1.1415,0.11
12849.4,1.0645,0.11
12849.59,1.0976,0.11
12849.77,1.2856,0.11
12849.96,1.1122,0.11
12850.14,1.2418,0.11
12850.33,1.1086,0.11
12850.51,1.0501,0.11
12850.7,1.0857,0.11
12850.88,1.2833,0.11
12851.06,1.4286,0.11
12851.25,1.0784,0.11
12851.43,1.1213,0.11
12851.62,1.0536,0.11
12851.8,1.1923,0.11
12851.99,1.0016,0.11
12852.17,1.0551,0.11
12852.36,1.0951,0.11
12852.54,1.2646,0.11
12852.73,1.071,0.11
12852.91,1.1271,0.11
12853.1,1.2212,0.11
12853.28,1.0202,0.11
12853.46,0.8905,0.11
12853.65,1.1079,0.11
12853.83,0.908,0.11
12854.02,0.9479,0.11
12854.2,1.0205,0.11
12854.39,1.0123,0.11
12854.57,0.9684,0.11
12854.76,0.8214,0.11
12854.94,0.9075,0.11
12855.13,1.0704,0.11
12855.31,1.0529,0.11
12855.49,1.1502,0.11
12855.68,1.16,0.11
12855.86,1.0489,0.11
12856.05,1.0005,0.11
12856.23,1.309,0.11
12856.42,1.0611,0.11
12856.6,1.1094,0.11
12856.79,1.2022,0.11
12856.97,1.0992,0.11
12857.16,0.8557,0.11
12857.34,1.0285,0.11
12857.53,1.1564,0.11
12857.71,0.8893,0.11
12857.9,0.9411,0.11
12858.08,1.0102,0.11
12858.26,0.8036,0.11
12858.45,0.8578,0.11
12858.63,0.8656,0.11
12858.82,0.9423,0.11
12859.0,0.7369,0.11
12859.19,1.0502,0.11
12859.37,0.5348,0.11
12859.56,0.8137,0.11
12859.74,0.764,0.11
12859.93,0.7084,0.11
12860.11,0.8376,0.11
12860.3,0.8071,0.11
12860.48,0.635,0.11
12860.66,0.7439,0.11
12860.85,0.6606,0.11
12861.03,0.8972,0.11
12861.22,0.7688,0.11
12861.4,0.892,0.11
12861.59,0.5179,0.11
12861.77,0.7778,0.11
12861.96,0.7937,0.11
12862.14,0.9332,0.11
12862.33,0.7514,0.11
12862.51,0.8892,0.11
12862.69,0.7804,0.11
12862.88,0.7751,0.11
12863.06,0.6805,0.11
12863.25,0.5076,0.11
12863.43,0.5752,0.11
12863.62,0.7406,0.11
12863.8,0.7502,0.11
12863.99,0.7222,0.11
12864.17,0.7584,0.11
12864.36,0.7979,0.11
12864.54,0.7007,0.11
12864.73,0.7689,0.11
12864.91,0.7983,0.11
12865.09,1.0098,0.11
12865.28,0.7843,0.11
12865.46,0.8415,0.11
12865.65,0.893,0.11
12865.83,0.7219,0.11
12866.02,0.9111,0.11
12866.2,0.9143,0.11
12866.39,0.9749,0.11
12866.57,0.8624,0.11
12866.76,0.8923,0.11
12866.94,0.8901,0.11
12867.13,0.6665,0.11
12867.31,0.5924,0.11
12867.5,0.7663,0.11
12867.68,0.8092,0.11
12867.86,0.7696,0.11
12868.05,0.9486,0.11
12868.23,0.92,0.11
12868.42,1.068,0.11
12868.6,0.8943,0.11
12868.79,0.8816,0.11
12868.97,0.807,0.11
12869.16,0.8826,0.11
12869.34,0.7047,0.11
12869.53,0.925,0.11
12869.71,1.0552,0.11
12869.9,1.0722,0.11
12870.08,0.8791,0.11
12870.26,0.9585,0.11
12870.45,0.8834,0.11
12870.63,1.2532,0.11
12870.82,1.0499,0.11
12871.0,1.1161,0.11
12871.19,1.0902,0.11
12871.37,0.9882,0.11
12871.56,1.0254,0.11
12871.74,0.9337,0.11
12871.93,1.1122,0.11
12872.11,1.0175,0.11
12872.3,1.1861,0.11
12872.48,1.0037,0.11
12872.66,1.1531,0.11
12872.85,0.9878,0.11
12873.03,1.1654,0.11
12873.22,1.3047,0.11
12873.4,1.0926,0.11
12873.59,1.0413,0.11
12873.77,1.0344,0.11
12873.96,1.0699,0.11
12874.14,1.1059,0.11
12874.33,1.2078,0.11
12874.51,1.0312,0.11
12874.7,1.0754,0.11
12874.88,1.0173,0.11
12875.06,1.0776,0.11
12875.25,1.068,0.11
12875.43,0.9271,0.11
12875.62,1.0184,0.11
12875.8,0.8285,0.11
12875.99,0.8717,0.11
12876.17,0.8992,0.11
12876.36,0.7449,0.11
12876.54,0.8625,0.11
12876.73,0.5845,0.11
12876.91,0.7057,0.11
12877.1,0.9021,0.11
12877.28,0.693,0.11
12877.46,0.8009,0.11
12877.65,0.7087,0.11
12877.83,0.8587,0.11
12878.02,0.8969,0.11
12878.2,0.7715,0.11
12878.39,0.7714,0.11
12878.57,1.0021,0.11
12878.76,1.1175,0.11
12878.94,0.9292,0.11
12879.13,1.2083,0.11
12879.31,1.4026,0.11
12879.5,1.0422,0.11
12879.68,1.0607,0.11
12879.86,1.1255,0.11
12880.05,1.0441,0.11
12880.23,1.0563,0.11
12880.42,0.989,0.11
12880.6,1.1287,0.11
12880.79,0.9504,0.11
12880.97,0.9616,0.11
12881.16,1.3,0.11
12881.34,1.3219,0.11
12881.52,1.3613,0.11
12881.71,1.0144,0.11
12881.89,1.1779,0.11
12882.08,0.8691,0.11
12882.26,1.0505,0.11
12882.45,0.9657,0.11
12882.63,0.8255,0.11
12882.82,0.8964,0.11
12883.0,0.9491,0.11
12883.19,0.7891,0.11
12883.37,0.7075,0.11
12883.56,0.6608,0.11
12883.74,0.7564,0.11
12883.93,0.8368,0.11
12884.11,0.9017,0.11
12884.3,0.6455,0.11
12884.48,0.556,0.11
12884.66,0.8051,0.11
12884.85,0.6991,0.11
12885.03,0.7523,0.11
12885.22,0.7731,0.11
12885.4,0.705,0.11
12885.59,0.7811,0.11
12885.77,0.6844,0.11
12885.96,0.8101,0.11
12886.14,0.5887,0.11
12886.33,0.8316,0.11
12886.51,0.7869,0.11
12886.69,0.813,0.11
12886.88,0.9653,0.11
12887.06,0.6714,0.11
12887.25,0.767,0.11
12887.43,0.9786,0.11
12887.62,0.9897,0.11
12887.8,0.8117,0.11
12887.99,0.833,0.11
12888.17,0.7332,0.11
12888.36,0.9294,0.11
12888.54,0.9171,0.11
12888.73,0.8373,0.11
12888.91,0.7899,0.11
12889.09,0.8887,0.11
12889.28,0.9212,0.11
12889.46,1.055,0.11
12889.65,1.0974,0.11
12889.83,1.199,0.11
12890.02,0.9557,0.11
12890.2,1.0216,0.11
12890.39,1.1139,0.11
12890.57,1.0965,0.11
12890.76,0.8936,0.11
12890.94,1.1722,0.11
12891.13,0.7087,0.11
12891.31,0.7547,0.11
12891.5,0.6357,0.11
12891.68,1.0353,0.11
12891.86,0.7695,0.11
12892.05,0.9742,0.11
12892.23,0.8852,0.11
12892.42,1.0358,0.11
12892.6,1.0469,0.11
12892.79,0.92,0.11
12892.97,1.1756,0.11
12893.16,0.9246,0.11
12893.34,1.0889,0.11
12893.53,1.0363,0.11
12893.71,0.9957,0.11
12893.9,0.9809,0.11
12894.08,0.8068,0.11
12894.26,0.8276,0.11
12894.45,0.8785,0.11
12894.63,0.9002,0.11
12894.82,0.6905,0.11
12895.0,0.77,0.11
12895.19,0.9043,0.11
12895.37,0.8944,0.11
12895.56,0.8452,0.11
12895.74,0.9109,0.11
12895.93,0.8722,0.11
12896.11,0.8971,0.11
12896.3,0.8179,0.11
12896.48,1.0993,0.11
12896.66,1.2498,0.11
12896.85,0.9718,0.11
12897.03,1.1731,0.11
12897.22,1.2501,0.11
12897.4,1.0032,0.11
12897.59,1.289,0.11
12897.77,0.9708,0.11
12897.96,0.9081,0.11
12898.14,0.8001,0.11
12898.33,0.8114,0.11
12898.51,0.893,0.11
12898.7,1.1116,0.11
12898.88,0.9325,0.11
12899.06,0.8517,0.11
12899.25,0.5443,0.11
12899.43,1.0702,0.11
12899.62,0.931,0.11
12899.8,1.1028,0.11
12899.99,0.8866,0.11
12900.17,1.1386,0.11
12900.36,1.0694,0.11
12900.54,0.9488,0.11
12900.73,1.0283,0.11
12900.91,1.0891,0.11
12901.1,1.3564,0.11
12901.28,1.1969,0.11
12901.46,1.1402,0.11
12901.65,0.988,0.11
12901.83,1.0014,0.11
12902.02,1.0002,0.11
12902.2,1.0103,0.11
12902.39,1.0093,0.11
12902.57,1.0333,0.11
