wavelength_Angstroms,flux,uncertainty
12828.54,1.2663,0.04
12828.73,1.2524,0.04
12828.91,1.1782,0.04
12829.1,1.1363,0.04
12829.28,1.0707,0.04
12829.47,0.9562,0.04
12829.65,0.9699,0.04
12829.83,0.9431,0.04
12830.02,0.8675,0.04
12830.2,0.9052,0.04
12830.39,0.9097,0.04
12830.57,0.9325,0.04
12830.76,1.0331,0.04
12830.94,1.0024,0.04
12831.13,1.0574,0.04
12831.31,1.0801,0.04
12831.5,1.1084,0.04
12831.68,1.125,0.04
12831.87,1.2165,0.04
12832.05,1.2139,0.04
12832.23,1.2486,0.04
12832.42,1.1829,0.04
12832.6,1.1085,0.04
12832.79,1.1521,0.04
12832.97,1.0425,0.04
12833.16,0.9432,0.04
12833.34,0.9088,0.04
12833.53,0.9091,0.04
12833.71,0.8238,0.04
12833.9,0.8149,0.04
12834.08,0.7926,0.04
12834.26,0.7259,0.04
12834.45,0.7825,0.04
12834.63,0.8062,0.04
12834.82,0.7216,0.04
12835.0,0.695,0.04
12835.19,0.7652,0.04
12835.37,0.6909,0.04
12835.56,0.7584,0.04
12835.74,0.7355,0.04
12835.93,0.7642,0.04
12836.11,0.7935,0.04
12836.3,0.6933,0.04
12836.48,0.813,0.04
12836.66,0.9379,0.04
12836.85,0.934,0.04
12837.03,0.9505,0.04
12837.22,1.0556,0.04
12837.4,1.0681,0.04
12837.59,1.0862,0.04
12837.77,1.0719,0.04
12837.96,1.0649,0.04
12838.14,1.0265,0.04
12838.33,1.0525,0.04
12838.51,0.9766,0.04
12838.69,1.0598,0.04
12838.88,1.0419,0.04
12839.06,1.0729,0.04
12839.25,1.0422,0.04
12839.43,1.0188,0.04
12839.62,1.1068,0.04
12839.8,1.095,0.04
12839.99,1.1528,0.04
12840.17,1.1148,0.04
12840.36,1.1065,0.04
12840.54,1.0928,0.04
12840.73,1.0902,0.04
12840.91,1.1378,0.04
12841.09,0.9998,0.04
12841.28,1.0185,0.04
12841.46,0.9667,0.04
12841.65,1.0337,0.04
12841.83,0.9295,0.04
12842.02,0.8675,0.04
12842.2,0.9252,0.04
12842.39,0.8277,0.04
12842.57,0.7588,0.04
12842.76,0.8644,0.04
12842.94,0.8005,0.04
12843.13,0.788,0.04
12843.31,0.8737,0.04
12843.5,0.8846,0.04
12843.68,0.873,0.04
12843.86,0.8839,0.04
12844.05,0.9667,0.04
12844.23,1.0682,0.04
12844.42,1.0755,0.04
12844.6,1.1431,0.04
12844.79,1.1685,0.04
12844.97,1.127,0.04
12845.16,1.1887,0.04
12845.34,1.172,0.04
12845.53,1.2166,0.04
12845.71,1.1542,0.04
12845.9,1.2373,0.04
12846.08,1.1913,0.04
12846.26,1.1905,0.04
12846.45,1.1185,0.04
12846.63,1.0943,0.04
12846.82,0.9459,0.04
12847.0,1.1019,0.04
